lemma,part_of_speech,hyponyms
1,noun,monad;singleton
1000,noun,millenary
12,noun,boxcars
2,noun,couple;craps
abandoned,verb,chuck;consign;dispense with;forfeit|foreswear|ditch;expose;maroon;walk out
abashed,verb,confuse
abbreviated,verb,bowdlerize;digest
abdominal,noun,external oblique muscle;transversus abdominis muscle
abducting,verb,shanghai
abiding,verb,overstay;visit|accept;bear up;pay;sit out;stand for;take a joke;take lying down
aboriginal,noun,filipino;levantine;mauritian;russian;seychellois
abortifacient,noun,abortion pill
abrasive,noun,carborundum;emery cloth;emery paper;steel wool
abridged,verb,bowdlerize;digest
absolved,verb,excuse;wash one's hands
absorbed,verb,assimilate;reabsorb|imbibe|blot;sponge up;wipe up|suck|drink in|consume;involve;rivet
absorbent,noun,absorbent cotton;absorber;sponge
absorbing,verb,assimilate;reabsorb|imbibe|blot;sponge up;wipe up|suck|drink in|consume;involve;rivet
abstinent,noun,teetotaler
abstract,noun,absolute;right;teacher;thing|apercu;brief;epitome
abstractionist,noun,suprematist
abused,verb,kick around|fracture;take in vain|curse;slang;vilify
academic,noun,professor
accelerated,verb,brisk
accented,verb,background;bear down;bring out;drive home;point up;re-emphasise;topicalize;underscore
accepted,verb,acknowledge;acknowledge;approbate;believe;espouse;receive;resign;respect;take a bow|accept;adopt;honor;welcome|agree;contract in;give;permit;settle;undertake;yield|profess|face the music|co-opt
accepting,verb,acknowledge;acknowledge;approbate;believe;espouse;receive;resign;respect;take a bow|accept;adopt;honor;welcome|agree;contract in;give;permit;settle;undertake;yield|profess|face the music|co-opt
accessary,noun,abettor;accessory after the fact;accessory before the fact;accessory during the fact;confederate
accessory,noun,belt;furnishing|auto accessory;computer accessory;fitting;fixings|abettor;accessory after the fact;accessory before the fact;accessory during the fact;confederate
accommodating,verb,adjust;anglicise;christianize;domesticate;domesticate;electrify;fit;gear;naturalize;shoehorn;tailor;transcribe|house;seat;sleep|barrack;keep;quarter
accompanied,verb,attend;collocate with;rule|escort;run;see;tag along;walk
accompanying,verb,attend;collocate with;rule|escort;run;see;tag along;walk
accomplished,verb,consummate;consummate;dispatch;do;get over;run|average;begin;come to;compass;culminate;reach;score;wangle
according,verb,blend|enfranchise;give
accrued,verb,redound
accumulated,verb,bale;catch;collect;corral;fund;fund;lump;run up;scrape|accrete;backlog;drift
accusing,verb,arraign;charge;recriminate;reproach|accuse;blame;defame;indict
accustomed,verb,addict;inure;teach
ace,noun,monad;singleton|ace of clubs;ace of diamonds;ace of hearts;ace of spades|track star
aching,noun,backache;earache;headache;stomachache;toothache
aching,verb,catch;kill;prick;twinge|die|act up;bite;burn;hunger;itch;shoot;thirst;throb
